ciudad;numero_lugares;numero_pares_query_positive;numero_pares_overlap_cero;porcentaje_global_overlap_cero;overlap_medio_global_ponderado;numero_lugares_overlap_medio_cero;20_lugares_mayor_overlap_medio;20_lugares_menor_overlap_medio
amman;835;3520;2089;59,34659090909091;0,07525611218372964;419;place_823: 0.817902 | place_584: 0.485691 | place_609: 0.457174 | place_618: 0.440716 | place_807: 0.425114 | place_651: 0.374148 | place_401: 0.368445 | place_200: 0.363854 | place_594: 0.352028 | place_183: 0.347840 | place_653: 0.331175 | place_237: 0.327480 | place_654: 0.326799 | place_405: 0.326275 | place_234: 0.325851 | place_243: 0.321592 | place_640: 0.306817 | place_245: 0.306189 | place_647: 0.305893 | place_407: 0.301054;place_0: 0.000000 | place_1: 0.000000 | place_2: 0.000000 | place_3: 0.000000 | place_5: 0.000000 | place_6: 0.000000 | place_7: 0.000000 | place_9: 0.000000 | place_10: 0.000000 | place_13: 0.000000 | place_14: 0.000000 | place_15: 0.000000 | place_17: 0.000000 | place_18: 0.000000 | place_19: 0.000000 | place_20: 0.000000 | place_21: 0.000000 | place_22: 0.000000 | place_23: 0.000000 | place_24: 0.000000
amsterdam;1873;14366;5082;35,37519142419602;0,11334905962980424;328;place_194: 0.944025 | place_327: 0.889464 | place_337: 0.674213 | place_192: 0.655730 | place_1840: 0.655036 | place_1025: 0.613050 | place_185: 0.602908 | place_1446: 0.554704 | place_212: 0.528987 | place_46: 0.521319 | place_318: 0.516271 | place_202: 0.514454 | place_356: 0.500241 | place_196: 0.491539 | place_1125: 0.489757 | place_884: 0.483615 | place_1529: 0.482990 | place_1830: 0.481732 | place_351: 0.476194 | place_245: 0.475465;place_2: 0.000000 | place_3: 0.000000 | place_50: 0.000000 | place_51: 0.000000 | place_58: 0.000000 | place_60: 0.000000 | place_67: 0.000000 | place_68: 0.000000 | place_170: 0.000000 | place_173: 0.000000 | place_175: 0.000000 | place_180: 0.000000 | place_223: 0.000000 | place_298: 0.000000 | place_330: 0.000000 | place_331: 0.000000 | place_332: 0.000000 | place_333: 0.000000 | place_368: 0.000000 | place_378: 0.000000
austin;14182;443861;142749;32,16074401670793;0,1947496850206263;1840;place_12247: 0.953274 | place_9777: 0.944101 | place_10986: 0.926789 | place_6092: 0.853269 | place_5555: 0.841850 | place_11372: 0.840896 | place_11011: 0.840359 | place_11005: 0.830751 | place_5546: 0.825907 | place_10837: 0.824049 | place_5221: 0.803542 | place_7315: 0.800607 | place_10870: 0.794746 | place_3272: 0.782804 | place_11015: 0.778539 | place_11326: 0.778041 | place_12829: 0.774834 | place_12246: 0.764085 | place_5207: 0.751504 | place_11357: 0.747754;place_115: 0.000000 | place_116: 0.000000 | place_142: 0.000000 | place_147: 0.000000 | place_148: 0.000000 | place_189: 0.000000 | place_209: 0.000000 | place_225: 0.000000 | place_276: 0.000000 | place_369: 0.000000 | place_370: 0.000000 | place_371: 0.000000 | place_372: 0.000000 | place_373: 0.000000 | place_374: 0.000000 | place_375: 0.000000 | place_376: 0.000000 | place_403: 0.000000 | place_404: 0.000000 | place_407: 0.000000
bangkok;39895;812591;374401;46,0749626811028;0,08649937293124542;9309;place_34266: 0.876113 | place_26069: 0.838808 | place_34082: 0.833824 | place_34131: 0.823039 | place_37518: 0.815987 | place_8994: 0.806477 | place_37497: 0.802311 | place_8995: 0.799917 | place_22598: 0.797918 | place_8992: 0.794919 | place_34246: 0.794510 | place_8996: 0.788531 | place_13475: 0.784651 | place_33813: 0.780844 | place_34227: 0.775702 | place_18345: 0.772969 | place_33775: 0.768581 | place_39349: 0.765552 | place_36614: 0.753713 | place_8993: 0.748483;place_28: 0.000000 | place_32: 0.000000 | place_39: 0.000000 | place_191: 0.000000 | place_192: 0.000000 | place_194: 0.000000 | place_195: 0.000000 | place_198: 0.000000 | place_205: 0.000000 | place_214: 0.000000 | place_249: 0.000000 | place_250: 0.000000 | place_251: 0.000000 | place_252: 0.000000 | place_261: 0.000000 | place_262: 0.000000 | place_263: 0.000000 | place_264: 0.000000 | place_265: 0.000000 | place_266: 0.000000
berlin;27715;218450;101554;46,48844129091325;0,07932774509107705;5917;place_25919: 0.921012 | place_16236: 0.862225 | place_25711: 0.824053 | place_24944: 0.806098 | place_20586: 0.775338 | place_21179: 0.771014 | place_17795: 0.748852 | place_20584: 0.731823 | place_9336: 0.712644 | place_21182: 0.712340 | place_27037: 0.689150 | place_21180: 0.673839 | place_20220: 0.669953 | place_4629: 0.669288 | place_27038: 0.657026 | place_22916: 0.650131 | place_24132: 0.644226 | place_22044: 0.634406 | place_4902: 0.634391 | place_21592: 0.627088;place_76: 0.000000 | place_77: 0.000000 | place_87: 0.000000 | place_89: 0.000000 | place_96: 0.000000 | place_100: 0.000000 | place_154: 0.000000 | place_155: 0.000000 | place_156: 0.000000 | place_157: 0.000000 | place_158: 0.000000 | place_160: 0.000000 | place_161: 0.000000 | place_162: 0.000000 | place_163: 0.000000 | place_172: 0.000000 | place_197: 0.000000 | place_198: 0.000000 | place_199: 0.000000 | place_203: 0.000000
boston;6485;127059;51422;40,47096230884865;0,10799264969387232;911;place_6444: 0.666786 | place_6208: 0.631342 | place_6443: 0.578171 | place_5437: 0.578082 | place_6207: 0.576646 | place_936: 0.572507 | place_6419: 0.541646 | place_6420: 0.541617 | place_2368: 0.525998 | place_6206: 0.517037 | place_6442: 0.502581 | place_2861: 0.498626 | place_3403: 0.492782 | place_2923: 0.491091 | place_3638: 0.481192 | place_1205: 0.479818 | place_6544: 0.474839 | place_3404: 0.463997 | place_4913: 0.462248 | place_5449: 0.461304;place_45: 0.000000 | place_46: 0.000000 | place_47: 0.000000 | place_48: 0.000000 | place_49: 0.000000 | place_50: 0.000000 | place_51: 0.000000 | place_52: 0.000000 | place_53: 0.000000 | place_54: 0.000000 | place_55: 0.000000 | place_56: 0.000000 | place_57: 0.000000 | place_58: 0.000000 | place_103: 0.000000 | place_104: 0.000000 | place_105: 0.000000 | place_107: 0.000000 | place_108: 0.000000 | place_109: 0.000000
budapest;45721;983708;464213;47,19012145880688;0,0927363753726745;5883;place_32129: 0.953018 | place_21785: 0.813253 | place_25657: 0.759209 | place_14850: 0.751665 | place_21773: 0.737821 | place_44207: 0.728213 | place_19471: 0.724483 | place_29123: 0.698945 | place_21771: 0.682211 | place_44211: 0.680556 | place_40542: 0.667889 | place_11586: 0.667297 | place_25024: 0.658508 | place_3132: 0.652810 | place_11566: 0.638558 | place_44199: 0.634820 | place_6746: 0.633633 | place_33312: 0.622114 | place_16674: 0.619789 | place_3120: 0.607822;place_27: 0.000000 | place_32: 0.000000 | place_33: 0.000000 | place_34: 0.000000 | place_35: 0.000000 | place_36: 0.000000 | place_37: 0.000000 | place_44: 0.000000 | place_45: 0.000000 | place_46: 0.000000 | place_47: 0.000000 | place_48: 0.000000 | place_49: 0.000000 | place_50: 0.000000 | place_52: 0.000000 | place_53: 0.000000 | place_55: 0.000000 | place_64: 0.000000 | place_70: 0.000000 | place_72: 0.000000
goa;5362;21967;4508;20,52169162835162;0,17659474085598234;566;place_3878: 0.848810 | place_645: 0.810036 | place_710: 0.804934 | place_653: 0.782090 | place_2050: 0.781208 | place_4153: 0.777549 | place_1413: 0.763070 | place_640: 0.754012 | place_693: 0.751898 | place_1380: 0.751162 | place_2185: 0.742012 | place_2640: 0.741495 | place_1598: 0.725632 | place_2619: 0.723574 | place_2175: 0.722461 | place_3079: 0.702801 | place_2857: 0.697458 | place_3274: 0.695178 | place_842: 0.685479 | place_5210: 0.679655;place_8: 0.000000 | place_13: 0.000000 | place_37: 0.000000 | place_46: 0.000000 | place_52: 0.000000 | place_55: 0.000000 | place_56: 0.000000 | place_58: 0.000000 | place_59: 0.000000 | place_60: 0.000000 | place_61: 0.000000 | place_62: 0.000000 | place_63: 0.000000 | place_64: 0.000000 | place_78: 0.000000 | place_143: 0.000000 | place_144: 0.000000 | place_145: 0.000000 | place_146: 0.000000 | place_151: 0.000000
helsinki;14169;226758;130121;57,3832014746999;0,06922506889984567;3214;place_11453: 0.647005 | place_9688: 0.642832 | place_11451: 0.624967 | place_11446: 0.622915 | place_11450: 0.620333 | place_11445: 0.616779 | place_11452: 0.613095 | place_8932: 0.610523 | place_11447: 0.610017 | place_11448: 0.605439 | place_11455: 0.583651 | place_10463: 0.581175 | place_11449: 0.578635 | place_7087: 0.575404 | place_11454: 0.571170 | place_7615: 0.565841 | place_7618: 0.560305 | place_9689: 0.552996 | place_8570: 0.547967 | place_7703: 0.547066;place_18: 0.000000 | place_21: 0.000000 | place_24: 0.000000 | place_25: 0.000000 | place_26: 0.000000 | place_30: 0.000000 | place_32: 0.000000 | place_51: 0.000000 | place_52: 0.000000 | place_53: 0.000000 | place_54: 0.000000 | place_56: 0.000000 | place_57: 0.000000 | place_58: 0.000000 | place_59: 0.000000 | place_61: 0.000000 | place_62: 0.000000 | place_63: 0.000000 | place_64: 0.000000 | place_65: 0.000000
london;2655;19711;6026;30,57176196032672;0,10766394290955526;353;place_78: 0.625315 | place_912: 0.617874 | place_913: 0.479057 | place_1978: 0.444129 | place_2413: 0.443721 | place_1060: 0.443319 | place_79: 0.442582 | place_1769: 0.441238 | place_1061: 0.440392 | place_2285: 0.435977 | place_1574: 0.431965 | place_1756: 0.424715 | place_98: 0.421255 | place_914: 0.418228 | place_2350: 0.416104 | place_1553: 0.412586 | place_1029: 0.407452 | place_1759: 0.406413 | place_1024: 0.403845 | place_1241: 0.396088;place_0: 0.000000 | place_1: 0.000000 | place_2: 0.000000 | place_3: 0.000000 | place_4: 0.000000 | place_5: 0.000000 | place_27: 0.000000 | place_31: 0.000000 | place_32: 0.000000 | place_33: 0.000000 | place_34: 0.000000 | place_35: 0.000000 | place_38: 0.000000 | place_85: 0.000000 | place_117: 0.000000 | place_118: 0.000000 | place_119: 0.000000 | place_120: 0.000000 | place_121: 0.000000 | place_122: 0.000000
manila;5370;30763;8880;28,86584533368007;0,12068091303146317;517;place_678: 0.720683 | place_459: 0.687864 | place_643: 0.650165 | place_444: 0.614486 | place_3418: 0.600704 | place_570: 0.598607 | place_1483: 0.597810 | place_485: 0.582948 | place_1608: 0.574154 | place_703: 0.546903 | place_843: 0.541067 | place_501: 0.530883 | place_571: 0.526820 | place_836: 0.519556 | place_837: 0.515941 | place_1486: 0.509761 | place_437: 0.499117 | place_1725: 0.498245 | place_758: 0.497341 | place_576: 0.494307;place_60: 0.000000 | place_199: 0.000000 | place_370: 0.000000 | place_371: 0.000000 | place_372: 0.000000 | place_373: 0.000000 | place_374: 0.000000 | place_375: 0.000000 | place_376: 0.000000 | place_377: 0.000000 | place_378: 0.000000 | place_379: 0.000000 | place_380: 0.000000 | place_381: 0.000000 | place_382: 0.000000 | place_383: 0.000000 | place_509: 0.000000 | place_684: 0.000000 | place_722: 0.000000 | place_727: 0.000000
